nom_gare;code_uic_complet;code_postal;segmentation_drg;total_voyageurs_2021;total_voyageurs_non_voyageurs_2021;total_voyageurs_2020;total_voyageurs_non_voyageurs_2020;total_voyageurs_2019;total_voyageurs_non_voyageurs_2019;total_voyageurs_2018;total_voyageurs_non_voyageurs_2018;totalvoyageurs2017;total_voyageurs_non_voyageurs_2017;total_voyageurs_2016;total_voyageurs_non_voyageurs_2016;total_voyageurs_2015;total_voyageurs_non_voyageurs_2015;comptages;description;image
Chevrières;87276311;60710;c;23974;23974;20332;20332;28748;28748;25476;25476;27867;27867;24603;24603;29656;29656;18.0;La gare de Chevrières est une gare ferroviaire française de la ligne de Creil à Jeumont, située sur le territoire de la commune de Chevrières dans le département de l'Oise, en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Chevri%C3%A8res_%2860%29%2C_gare_SNCF%2C_passage_%C3%A0_niveau_et_ancien_b%C3%A2timent_voyageurs_1.jpg/1024px-Chevri%C3%A8res_%2860%29%2C_gare_SNCF%2C_passage_%C3%A0_niveau_et_ancien_b%C3%A2timent_voyageurs_1.jpg
Chocques;87342220;62920;c;3386;3386;3389;3389;5799;5799;4462;4462;5183;5183;6643;6643;6723;6723;2.0;La gare de Chocques est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur la commune de Chocques dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Gare_de_Chocques.jpg/280px-Gare_de_Chocques.jpg
Cires-lès-Mello;87313551;60660;c;90708;90708;69824;69824;96422;96422;87462;87462;98692;98692;100360;100360;106980;106980;47.0;La gare de Cires-lès-Mello est une gare ferroviaire française de la ligne de Creil à Beauvais, située sur le territoire de la commune de Cires-lès-Mello, à 300 m du centre-ville et à la même distance du village voisin de Mello, dans le département de l'Oise, en région Hauts-de-France.  Elle est mise en service en 1857 par la Compagnie des chemins de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Cires-l%C3%A8s-Mello_%2860%29%2C_gare_SNCF%2C_rue_de_Verdun_4.jpg/1024px-Cires-l%C3%A8s-Mello_%2860%29%2C_gare_SNCF%2C_rue_de_Verdun_4.jpg
Clacy - Mons;87296178;2000;c;733;733;997;997;408;408;48;48;120;120;436;436;769;769;3.0;La gare de Clacy - Mons est une gare ferroviaire française de la ligne de La Plaine à Hirson et Anor (frontière), située sur le territoire de la commune de Clacy-et-Thierret, à proximité de Mons-en-Laonnois, dans le département de l'Aisne en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;
Clermont de l'Oise;87313304;60600;b;813582;1004422;709439;875850;980971;1211075;926973;1144411;980153;1210066;930076;1148242;935465;1154895;101.0;La gare de Clermont-de-l'Oise est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située à 850 mètres de la place Corroyer par la rue du Général-Pershing, au nord-est de la commune de Clermont, dans le département de l'Oise, en région Hauts-de-France.  Elle est mise en service en 1846, par la Compagnie des chemins de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Clermont%2C_Oise_-_Train_station_-_1.JPG/1024px-Clermont%2C_Oise_-_Train_station_-_1.JPG
Comines;87286260;59560;c;1265;1265;1058;1058;2413;2413;2357;2357;2348;2348;1690;1690;3343;3343;6.0;La gare de Comines (France) était une gare ferroviaire française de la ligne de La Madeleine à Comines-France, située sur le territoire de la commune de Comines, dans le département du Nord en région Hauts-de-France.  Elle est mise en service en 1876 par la Compagnie des chemins de fer du Nord-Est avant d'être reprise par la Compagnie des chemins de fer du Nord. C'était une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Comines_train_station.jpg/1024px-Comines_train_station.jpg
Compiègne;87276691;60200;a;1887027;2358783;1495127;1868909;2277888;2847360;2164053;2705066;2313592;2891990;2277907;2847384;2316129;2895161;213.0;La gare de Compiègne est une gare ferroviaire française de la ligne de Creil à Jeumont, située à proximité (700 m) du centre-ville de Compiègne, sous-préfecture du département de l'Oise, en région Hauts-de-France. Une partie de son emprise est également située sur le territoire de la commune de Margny-lès-Compiègne.  Elle est mise en service en 1850, par la Compagnie des chemins de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Compi%C3%A8gne_%2860%29%2C_gare_SNCF%2C_fa%C3%A7ade_sur_la_place_de_la_gare_2.jpg/1024px-Compi%C3%A8gne_%2860%29%2C_gare_SNCF%2C_fa%C3%A7ade_sur_la_place_de_la_gare_2.jpg
Corbehem;87345116;62112;c;22452;22452;18911;18911;29767;29767;29762;29762;31272;31272;30967;30967;34093;34093;30.0;La gare de Corbehem est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Corbehem, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/004_Corbehem_%28_62112_%29.JPG/1024px-004_Corbehem_%28_62112_%29.JPG
Corbie;87313056;80800;b;309580;386975;273972;342465;362926;453658;347950;434938;350076;437596;351568;439460;364008;455010;46.0;La gare de Corbie est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Corbie (à 700 mètres du centre-ville1), dans le département de la Somme, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux (TER). ;https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/BV_de_Corbie_%281%29_par_Cramos.JPG/280px-BV_de_Corbie_%281%29_par_Cramos.JPG
Corcy;87272286;2600;c;2;2;3;3;0;0;0;0;7;7;102;102;529;529;;La gare de Corcy est une gare ferroviaire française de la ligne de La Plaine à Hirson et Anor (frontière), située sur le territoire de la commune de Corcy dans le département de l'Aisne, en région Hauts-de-France.  Halte mise en service en 1893 par la Compagnie des chemins de fer du Nord.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Gare_de_Corcy.jpg/1024px-Gare_de_Corcy.jpg
Coron de Méricourt;87345132;62680;c;14460;14460;12501;12501;33746;33746;33675;33675;35421;35421;31557;31557;30520;30520;22.0;La gare de Coron-de-Méricourt est une gare ferroviaire française de la ligne de Lens à Ostricourt, située sur le territoire de la commune de Méricourt dans le département du Pas-de-Calais en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Gare_de_Coron-de-M%C3%A9ricourt_-_5.JPG/1024px-Gare_de_Coron-de-M%C3%A9ricourt_-_5.JPG
Coucy-lès-Eppes;87171769;2840;c;9545;9545;7023;7023;5811;5811;7267;7267;7048;7048;7064;7064;7102;7102;29.0;La gare de Coucy-lès-Eppes est une gare ferroviaire française de la ligne de Reims à Laon, située sur le territoire de la commune de Coucy-lès-Eppes, dans le département de l'Aisne en région Hauts-de-France.  Elle est mise en service en 1857 par la Compagnie des chemins de fer des Ardennes. C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Grand Est. ;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Coucy-l%C3%A8s-Eppes_%28Aisne%29_la_gare_SNCF.JPG/280px-Coucy-l%C3%A8s-Eppes_%28Aisne%29_la_gare_SNCF.JPG
Coudekerque-Branche;87281402;59210;c;7865;7865;9656;9656;26533;26533;12240;12240;7773;7773;7710;7710;7642;7642;27.0;La gare de Coudekerque-Branche est une gare ferroviaire française des lignes d'Arras à Dunkerque-Locale et de Coudekerque-Branche aux Fontinettes, située sur le territoire de la commune de Coudekerque-Branche, dans le département du Nord, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Gare_de_Coudekerque-Branche_-_2.JPG/1024px-Gare_de_Coudekerque-Branche_-_2.JPG
Courcelles-le-Comte;87342063;62121;c;1272;1272;703;703;102;102;94;94;396;396;816;816;1126;1126;15.0;La gare de Courcelles-le-Comte est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Courcelles-le-Comte, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Gare_de_Courcelles_le_comte_2.JPG/1024px-Gare_de_Courcelles_le_comte_2.JPG
Crépy - Couvron;87296152;2870;c;3363;3363;2223;2223;2684;2684;1993;1993;1738;1738;3029;3029;4094;4094;25.0;La gare de Crépy - Couvron est une gare ferroviaire française de la ligne d'Amiens à Laon, située sur le territoire de la commune de Crépy, à proximité de Couvron-et-Aumencourt, dans le département de l'Aisne en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Cr%C3%A9py-Couvron_%28Aisne%29_la_gare_%2801%29.JPG/1024px-Cr%C3%A9py-Couvron_%28Aisne%29_la_gare_%2801%29.JPG
Crépy-en-Valois;87271593;60800;b;1412354;1765442;1064830;1331038;1760549;2200687;1683624;2104530;2123053;2653817;1784694;2230868;1570943;1963679;32.0;La gare de Crépy-en-Valois est une gare ferroviaire française de la ligne de La Plaine à Hirson et Anor (frontière), située sur le territoire de la commune de Crépy-en-Valois, dans le département de l'Oise, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France et Transilien. ;https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Gare_de_Cr%C3%A9py-en-Valois_%28Inosque%29.jpg/280px-Gare_de_Cr%C3%A9py-en-Valois_%28Inosque%29.jpg
Cramoisy;87313544;60660;c;2135;2135;1531;1531;2906;2906;4447;4447;3834;3834;3935;3935;2273;2273;18.0;La gare de Cramoisy est une gare ferroviaire française de la ligne de Creil à Beauvais, située sur le territoire de la commune de Cramoisy, dans le département de l'Oise en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Cramoisy_%2860%29%2C_gare_SNCF%2C_rue_du_Pont_%282%29.jpg/280px-Cramoisy_%2860%29%2C_gare_SNCF%2C_rue_du_Pont_%282%29.jpg
Creil;87276006;60100;b;4068319;5085399;3384293;4230366;5096215;6370269;4767367;5959209;5179573;6474466;4975896;6219870;4771298;5964123;241.0;La gare de Creil est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur la rive droite de l'Oise, dans le département de l'Oise, en région Hauts-de-France. Ses installations sont établies pour la plus grande partie sur le territoire de la commune de Creil, la partie nord de celles-ci se trouvant sur le territoire de Nogent-sur-Oise. Le centre-ville de Creil, sur la rive gauche de la rivière, est à environ un kilomètre au sud-est de la gare.  Elle est mise en service en 1846, par la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. C'est également une gare desservie par les transports en commun ferroviaires franciliens, avec la ligne D du RER et la ligne H du Transilien. ;https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Gare_de_Creil_CRW_0815.jpg/1024px-Gare_de_Creil_CRW_0815.jpg
Croix - Wasquehal;87286716;59170;c;3049;3049;3694;3694;7775;7775;6510;6510;6880;6880;6973;6973;10385;10385;18.0;La gare de Croix - Wasquehal est une gare ferroviaire française de la ligne de Fives à Mouscron (frontière), située sur le territoire de la commune de Wasquehal, à proximité de Croix, dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des TGV, des InterCity (IC), et des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Gare_de_Croix_-_Wasquehal.JPG/1024px-Gare_de_Croix_-_Wasquehal.JPG
Croix L'Allumette;87281055;59170;c;848;848;731;731;1029;1029;1269;1269;1669;1669;1245;1245;1465;1465;14.0;La gare de Croix-L'Allumette est une gare ferroviaire française de la ligne de Fives à Mouscron (frontière), située sur le territoire de la commune de Croix, dans le département du Nord, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gare_de_Croix-L%27Allumette_-_1.JPG/280px-Gare_de_Croix-L%27Allumette_-_1.JPG
Crouy;87271874;2880;c;399;399;376;376;1011;1011;596;596;327;327;183;183;457;457;3.0;La gare de Crouy est une gare ferroviaire française de la ligne de La Plaine à Hirson et Anor (frontière), située sur le territoire de la commune de Crouy dans le département de l'Aisne, en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Crouy_%28Aisne%29_la_gare.JPG/1024px-Crouy_%28Aisne%29_la_gare.JPG
Cuinchy;87342410;62149;c;28381;28381;28144;28144;47390;47390;44635;44635;47566;47566;46774;46774;47637;47637;22.0;La gare de Cuinchy est une gare ferroviaire française de la ligne de Fives à Abbeville, située sur le territoire de la commune de Cuinchy, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains du réseau TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Gare_de_Cuinchy_-_1.JPG/1024px-Gare_de_Cuinchy_-_1.JPG
Dannes - Camiers;87317081;62187;c;12562;12562;9337;9337;10346;10346;9826;9826;11730;11730;15102;15102;13095;13095;30.0;La gare de Dannes - Camiers est une gare ferroviaire française de la ligne de Longueau à Boulogne-Ville, située sur le territoire de la commune de Camiers, à proximité de Dannes, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France et qui gère des installations terminales embranchées. ;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Gare_de_Dannes_-_Camiers_-_1.JPG/280px-Gare_de_Dannes_-_Camiers_-_1.JPG
Daours;87315044;80800;c;28044;28044;27157;27157;31699;31699;26769;26769;28859;28859;28036;28036;26913;26913;17.0;La gare de Daours est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune d'Aubigny, à proximité de Daours, dans le département de la Somme, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Gare_de_Daours_%284%29_par_Cramos.JPG/1024px-Gare_de_Daours_%284%29_par_Cramos.JPG
Deûlémont;87287185;59890;c;396;396;147;147;316;316;332;332;390;390;574;574;894;894;;La gare de Deûlémont était une gare ferroviaire française de la ligne de La Madeleine à Comines-France, située sur le territoire de la commune de Quesnoy-sur-Deûle, à proximité de Deûlémont, dans le département du Nord en région Hauts-de-France.  Un point d'arrêt est mis en service en 1891 par la Compagnie des chemins de fer du Nord. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Gare_de_De%C3%BBl%C3%A9mont_-_2.JPG/280px-Gare_de_De%C3%BBl%C3%A9mont_-_2.JPG
Denain;87343459;59220;c;18677;18677;21192;21192;36925;36925;32400;32400;31612;31612;27110;27110;28346;28346;27.0;La gare de Denain, anciennement gare de Denain-Nord, est une gare ferroviaire française de la ligne de Lourches à Valenciennes, située sur le territoire de la commune de Denain, dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1888 par la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Denain_-_Gare_de_Denain_%2806%29.JPG/280px-Denain_-_Gare_de_Denain_%2806%29.JPG
Dercy - Froidmont;87297143;2270;c;9055;9055;10378;10378;9871;9871;11496;11496;13503;13503;13129;13129;13255;13255;16.0;La gare de Dercy - Froidmont est une gare ferroviaire française de la ligne de La Plaine à Hirson et Anor (frontière), située sur le territoire de la commune de Dercy, à proximité de Froidmont-Cohartille, dans le département de l'Aisne en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;
Dommartin - Remiencourt;87316109;80440;c;10797;10797;7769;7769;8642;8642;7171;7171;8963;8963;8823;8823;8177;8177;8.0;La gare de Dommartin - Remiencourt est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Dommartin, à proximité de Remiencourt, dans le département de la Somme, en région Hauts-de-France.  Elle est devenue une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/DOMMARTIN2.JPG/1024px-DOMMARTIN2.JPG
Dompierre-sur-Helpe;87295774;59440;c;1464;1464;1396;1396;3175;3175;3117;3117;3163;3163;2891;2891;3146;3146;5.0;La gare de Dompierre est une gare ferroviaire française de la ligne de Fives à Hirson, située sur le territoire de la commune de Dompierre-sur-Helpe dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Dompierre-sur-Helpe_-_Gare_-_3.JPG/1024px-Dompierre-sur-Helpe_-_Gare_-_3.JPG
Don - Sainghin;87286435;59272;b;110511;138138;122592;153240;223793;279741;219480;274350;236725;295907;229474;286843;235004;293755;68.0;La gare de Don - Sainghin est une gare ferroviaire française des lignes de Fives à Abbeville, de Lens à Don - Sainghin et de Templeuve à Don-Sainghin. Elle est située sur le territoire de la commune de Sainghin-en-Weppes, à proximité de Don, dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Gare_de_Don-Sainghin_-_3.JPG/280px-Gare_de_Don-Sainghin_-_3.JPG
Douai;87345009;59500;a;2312445;2890557;1960495;2450619;3049203;3811503;2823221;3529027;2974200;3717750;2863936;3579920;2908863;3636078;254.0;La gare de Douai est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située à proximité du centre-ville de Douai, sous-préfecture du département du Nord, en région Hauts-de-France.  Elle est mise en service en 1846, par la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des TGV inOui et des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Douai_-_Gare_de_Douai_%2818%29.JPG/1024px-Douai_-_Gare_de_Douai_%2818%29.JPG
Dourges;87345165;62119;b;165763;169146;152051;155154;255384;260596;247741;252797;255066;260271;240705;245617;251402;256532;65.0;La gare de Dourges est une gare ferroviaire française de la ligne de Lens à Ostricourt, située sur le territoire de la commune de Dourges dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Dourges_-_Train_station.JPG/1024px-Dourges_-_Train_station.JPG
Dreuil-lès-Amiens;87316075;80730;c;5055;5055;6308;6308;8475;8475;9338;9338;10017;10017;12829;12829;13322;13322;19.0;La gare de Dreuil-lès-Amiens est une gare ferroviaire française de la ligne de Longueau à Boulogne-Ville, située sur la commune de Dreuil-lès-Amiens, dans le département de la Somme, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Dreuil-l%C3%A8s-Amiens_%284%29_par_Cramos.JPG/280px-Dreuil-l%C3%A8s-Amiens_%284%29_par_Cramos.JPG
Dunkerque;87281006;59140;a;1414394;1571548;1241973;1379970;1931759;2146399;1663300;1848111;1756974;1952193;1681344;1868161;1753890;1948766;57.0;La gare de Dunkerque est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur le territoire de la commune de Dunkerque, dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des TGV inOui et des trains régionaux du réseau TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Gare_de_Dunkerque_05-21.jpg/1024px-Gare_de_Dunkerque_05-21.jpg
Ebblinghem;87281469;59173;c;11304;11304;12028;12028;28572;28572;27692;27692;24707;24707;24212;24212;26163;26163;32.0;La gare d'Ebblinghem est une gare ferroviaire française de la ligne de Lille aux Fontinettes, située sur le territoire de la commune d'Ebblinghem dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Ebblinghem_%28Nord%2C_Fr%29_la_gare.JPG/1024px-Ebblinghem_%28Nord%2C_Fr%29_la_gare.JPG
Ennevelin;87287276;59710;c;2240;2240;601;601;975;975;714;714;471;471;321;321;907;907;2.0;La gare d'Ennevelin est une gare ferroviaire française de la ligne de Fives à Hirson, située sur le territoire de la commune d'Ennevelin dans le département du Nord, en région Hauts-de-France.  Un point d'arrêt est mis en service en 1891 par la Compagnie des chemins de fer du Nord. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Gare_d%27Ennevelin_-_4.JPG/280px-Gare_d%27Ennevelin_-_4.JPG
Escaudœuvres;87345496;59161;c;531;531;143;143;32;32;134;134;161;161;263;263;49;49;25.0;La gare d'Escaudœuvres est une gare ferroviaire française de la ligne de Busigny à Somain, située sur le territoire de la commune d'Escaudœuvres, dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/ESCAUDOEUVRES2.jpg/1024px-ESCAUDOEUVRES2.jpg
Esches;87272096;60110;c;40101;40101;32345;32345;44886;44886;42395;42395;44624;44624;38543;38543;32991;32991;30.0;La gare d'Esches est une gare ferroviaire française de la ligne d'Épinay - Villetaneuse au Tréport - Mers, située sur le territoire de la commune d'Esches, dans le département de l'Oise, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Gare_Esches.JPG/1024px-Gare_Esches.JPG
Esquelbecq;87281113;59470;b;116349;118724;111606;113884;146409;149397;126270;128847;122084;124575;110199;112448;104612;106747;42.0;La gare d'Esquelbecq est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur le territoire de la commune d'Esquelbecq dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Gare_d%27Esquelbecq_-_6.JPG/1024px-Gare_d%27Esquelbecq_-_6.JPG
Estrées-Saint-Denis;87313387;60190;c;47579;47579;35533;35533;49403;49403;43288;43288;45439;45439;45473;45473;46836;46836;108.0;La gare d'Estrées-Saint-Denis est une gare ferroviaire française de la ligne de Rochy-Condé à Soissons, située sur la commune d'Estrées-Saint-Denis, dans le département de l'Oise, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/BV_estrees.JPG/1024px-BV_estrees.JPG
Fère-en-Tardenois;87171371;2130;c;77;77;309;309;1578;1578;2558;2558;4762;4762;8619;8619;12074;12074;;La gare de Fère-en-Tardenois est une gare ferroviaire française fermée de la ligne de Trilport à Bazoches, située sur le territoire de la commune de Fère-en-Tardenois, dans le département de l'Aisne en région Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/La_F%C3%A8re_%28Aisne%29_la_gare.JPG/420px-La_F%C3%A8re_%28Aisne%29_la_gare.JPG
Farbus;87342527;62580;c;1072;1072;2352;2352;3655;3655;2718;2718;1824;1824;1852;1852;2630;2630;2.0;La gare de Farbus est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur le territoire de la commune de Farbus, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Gare_de_Farbus_-_2.JPG/1024px-Gare_de_Farbus_-_2.JPG
Feuquerolles;87316752;80190;c;0;0;0;0;10;10;238;238;397;397;547;547;574;574;;La gare de Feuquerolles est une gare ferroviaire française fermée de la ligne d'Abbeville à Eu, située sur le territoire de la commune de Feuquières-en-Vimeu, dans le département de la Somme, en région Hauts-de-France.  C'était une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France jusqu'à la fermeture de la ligne en 2018.;https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Feuqui%C3%A8res%2C_Somme%2C_Fr%2C_gare_de_Feuquerolles.jpg/1024px-Feuqui%C3%A8res%2C_Somme%2C_Fr%2C_gare_de_Feuquerolles.jpg
Feuquières - Broquiers;87313742;60960;c;23020;23020;14701;14701;12362;12362;13619;13619;17337;17337;20207;20207;22632;22632;45.0;La gare de Feuquières - Broquiers est une gare ferroviaire française de la ligne d'Épinay - Villetaneuse au Tréport - Mers, située sur le territoire de la commune de Feuquières, à proximité de Broquiers, dans le département de l'Oise, en région Hauts-de-France.  Elle est mise en service en 1875 par la Compagnie des chemins de fer du Nord.  Ce point d'arrêt de la Société nationale des chemins de fer français (SNCF) est desservi par des trains régionaux du réseau TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Gare_de_Feuqui%C3%A8res_-_Broquiers.JPG/1024px-Gare_de_Feuqui%C3%A8res_-_Broquiers.JPG
Feuquières - Fressenneville;87317503;80210;c;864;864;1392;1392;6453;6453;9990;9990;15591;15591;15714;15714;19122;19122;31.0;La gare de Feuquières - Fressenneville, également appelée gare de Feuquières-en-Vimeu par la SNCF, est une gare ferroviaire française fermée de la ligne d'Abbeville à Eu, située sur le territoire de la commune de Feuquières-en-Vimeu, à proximité de Fressenneville, dans le département de la Somme, en région Hauts-de-France.  C'était une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France jusqu'à la fermeture de la ligne en 2018.;https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/FEUQUIERES.jpg/1024px-FEUQUIERES.jpg
