nom_gare;code_uic_complet;code_postal;segmentation_drg;total_voyageurs_2021;total_voyageurs_non_voyageurs_2021;total_voyageurs_2020;total_voyageurs_non_voyageurs_2020;total_voyageurs_2019;total_voyageurs_non_voyageurs_2019;total_voyageurs_2018;total_voyageurs_non_voyageurs_2018;totalvoyageurs2017;total_voyageurs_non_voyageurs_2017;total_voyageurs_2016;total_voyageurs_non_voyageurs_2016;total_voyageurs_2015;total_voyageurs_non_voyageurs_2015;comptages;description;image
Amifontaine;87171744;2190;c;14165;14165;13302;13302;14722;14722;15470;15470;15485;15485;12624;12624;11071;11071;29.0;La gare d'Amifontaine est une gare ferroviaire française de la ligne de Reims à Laon, située sur le territoire de la commune d'Amifontaine, dans le département de l'Aisne en région Hauts-de-France.  Elle est mise en service entre 1861 et 1868 par la Compagnie des chemins de fer de l'Est. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Grand Est. ;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vajjwki5zNsABbjwd8hFeQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=224.16495&pitch=0&thumbfov=100
Anizy - Pinon;87296566;2320;c;76946;76946;59518;59518;87841;87841;75945;75945;83874;83874;80983;80983;87381;87381;31.0;La gare d'Anizy - Pinon est une gare ferroviaire française située sur le territoire de la commune de Pinon, à proximité d'Anizy-le-Château, dans le département de l'Aisne en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Gare_d%27Anizy-Pinon.JPG/280px-Gare_d%27Anizy-Pinon.JPG
Annappes;87286856;59650;c;1388;1388;882;882;1638;1638;1285;1285;811;811;641;641;883;883;4.0;La gare d'Annappes est une gare ferroviaire française de la ligne de Fives à Baisieux, située sur le territoire de la commune de Villeneuve-d'Ascq, dans le département du Nord en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Gare_d%27Annappes_-_2.JPG/280px-Gare_d%27Annappes_-_2.JPG
Anor;87295055;59186;c;18522;18522;14384;14384;20768;20768;20097;20097;20943;20943;20983;20983;22276;22276;48.0;La gare d'Anor est une gare ferroviaire française de la ligne de Fives à Hirson, située sur le territoire de la commune d'Anor dans le département du Nord, en région Hauts-de-France.  Bien qu'elle soit une gare de la Compagnie des chemins de fer du Nord, c'est la Compagnie du chemin de fer de Chimay (société belge) qui la met en service en 1868. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Anor_%28Nord%29_gare.JPG/1024px-Anor_%28Nord%29_gare.JPG
Anvin;87317255;62134;c;3630;3630;412;412;811;811;2643;2643;12147;12147;18542;18542;19182;19182;15.0;La gare d'Anvin est une gare ferroviaire française de la ligne de Saint-Pol-sur-Ternoise à Étaples, située sur le territoire de la commune d'Anvin, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/ANVIN.jpg/1024px-ANVIN.jpg
Appilly;87296459;60400;c;6565;6565;5965;5965;7990;7990;7832;7832;6961;6961;6728;6728;5493;5493;29.0;La gare d'Appilly est une gare ferroviaire française de la ligne de Creil à Jeumont, située sur le territoire de la commune d'Appilly, dans le département de l'Oise, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/GARE_APPILLY.jpg/1024px-GARE_APPILLY.jpg
Arleux;87345421;59151;c;23159;23159;22092;22092;39865;39865;39776;39776;45719;45719;47584;47584;51057;51057;23.0;La gare d'Arleux est une gare ferroviaire française de la ligne de Saint-Just-en-Chaussée à Douai, située sur le territoire de la commune d'Arleux dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1881 par la Compagnie des chemins de fer de Picardie et des Flandres avant de devenir une gare de la Compagnie des chemins de fer du Nord en 1883. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/ARLEUX1.jpg/1024px-ARLEUX1.jpg
Armentières;87286146;59280;b;671188;838985;613551;766939;793833;992292;761726;952158;826628;1033285;816834;1021043;811472;1014340;93.0;La gare d'Armentières est une gare ferroviaire française de la ligne de Lille aux Fontinettes, située sur le territoire de la commune d'Armentières, dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1849, par la Compagnie des chemins de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Armenti%C3%A8res_-_Gare_d%27Armenti%C3%A8res_%2810%29.JPG/1024px-Armenti%C3%A8res_-_Gare_d%27Armenti%C3%A8res_%2810%29.JPG
Arnèke;87281121;59285;b;96189;120236;87107;108883;127818;159773;120466;150582;126380;157975;124209;155262;117986;147483;42.0;La gare d'Arnèke est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur le territoire de la commune d'Arnèke dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Gare_d%27Arn%C3%A8ke_-_1.JPG/1024px-Gare_d%27Arn%C3%A8ke_-_1.JPG
Arras;87342014;62000;a;2979908;3724885;2622169;3277711;4297088;5371360;4060559;5075699;4361839;5452299;4138307;5172884;4145669;5182086;164.0;La gare d'Arras est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située à proximité du centre-ville d'Arras, préfecture du département du Pas-de-Calais, en région Hauts-de-France.  Elle est mise en service en 1846, par la Compagnie des chemins de fer du Nord.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des TGV inOui et des trains régionaux du réseau TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Arras_Gare_R01.jpg/1024px-Arras_Gare_R01.jpg
