CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;GeoPoint;GeoShape
87313247;Breteuil-Embranchement;O;O;272000;1;094+852;BACOUËL;OISE;3380;c0a1875c-f312-11e3-90ff-015864e0362d;655487,1798;6947675,324;2,384230934;49,62668016;49.62668016310979, 2.3842309340909043;49.62668016216081, 2.3842309340909034;"{""coordinates"":[2.384230934090903,49.62668016216081],""type"":""Point""}"
87317305;Les Fontinettes;N;O;295000;1;104+791;CALAIS;PAS-DE-CALAIS;5074;e1b83a6a-19bf-11e5-a6ff-01fc64e0362d;618999,1643;7094430,316;1,84996141;50,94058381;50.94058380754782, 1.8499614099419353;50.94058380661274, 1.8499614099419337;"{""coordinates"":[1.849961409941934,50.94058380661274],""type"":""Point""}"
87296459;Appilly;N;O;242000;1;115+272;APPILLY;OISE;2910;2946b6f6-dfbc-11e3-a2ff-01a464e0362d;708753,0149;6942381,221;3,120975177;49,58060488;49.580604880191174, 3.1209751774163426;49.580604879241704, 3.120975177416342;"{""coordinates"":[3.120975177416342,49.580604879241704],""type"":""Point""}"
87286377;Lestrem;O;N;294000;1;037+009;LESTREM;PAS-DE-CALAIS;5140;c06f2378-f312-11e3-90ff-015864e0362d;677206,0571;7059515,197;2,678372968;50,63219436;50.63219436003466, 2.678372968266216;50.632194359096204, 2.6783729682662147;"{""coordinates"":[2.678372968266215,50.632194359096204],""type"":""Point""}"
87297523;Hachette;N;O;242000;1;207+038;LOCQUIGNOL;NORD;4395;c07e06e6-f312-11e3-90ff-015864e0362d;753168,125;7006919,876;3,74320962;50,15820002;50.15820001748976, 3.743209619904144;50.15820001654626, 3.743209619904143;"{""coordinates"":[3.743209619904143,50.15820001654626],""type"":""Point""}"
87313841;Fouilloy;N;O;321000;1;044+054;FOUILLOY;OISE;4211;29c77d06-dfbc-11e3-a2ff-01a464e0362d;615280,8854;6960344,621;1,825492032;49,73641874;49.73641873820521, 1.82549203212016;49.73641873725734, 1.8254920321201586;"{""coordinates"":[1.825492032120159,49.73641873725734],""type"":""Point""}"
87317248;Blangy-sur-Ternoise;N;O;308000;1;089+692;BLANGY-SUR-TERNOISE;PAS-DE-CALAIS;3248;d9d5f4a4-6667-11e3-89ff-01f464e0362d;641091,5718;7036662,632;2,172196778;50,42472306;50.42472306055137, 2.1721967777746634;50.42472305961069, 2.172196777774662;"{""coordinates"":[2.172196777774662,50.42472305961069],""type"":""Point""}"
87342253;Savy-Berlette;N;O;307000;1;213+566;SAVY-BERLETTE;PAS-DE-CALAIS;6791;e027d8e0-19bf-11e5-82ff-01fc64e0362d;668504,516;7028551,151;2,55804012;50,35388373;50.353883727498975, 2.558040120070211;50.35388372655752, 2.5580401200702108;"{""coordinates"":[2.558040120070211,50.35388372655752],""type"":""Point""}"
87317057;Rang-du-Fliers-Verton;O;O;311000;1;215+026;RANG-DU-FLIERS;PAS-DE-CALAIS;6204;29573ebe-dfbc-11e3-a2ff-01a464e0362d;603805,9753;7036155,859;1,648450046;50,41555525;50.41555524994951, 1.6484500459954148;50.41555524900873, 1.648450045995413;"{""coordinates"":[1.648450045995413,50.41555524900873],""type"":""Point""}"
87281436;Watten-Éperlecques;N;O;295000;1;075+530;ÉPERLECQUES;PAS-DE-CALAIS;8079;2950aa28-dfbc-11e3-a2ff-01a464e0362d;644071,5347;7081324,708;2,20777291;50,82578986;50.82578985957985, 2.207772910280331;50.82578985864349, 2.2077729102803296;"{""coordinates"":[2.20777291028033,50.82578985864349],""type"":""Point""}"
