stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
02:00195,02:00195,"CHATEAU T. - PLACE THIERS","",49.04261,3.4012,,,0,,,
02:00197,02:00197,"COINCY  - ABRI MAIRIE","",49.16061,3.42117,,,0,,,
02:00204,02:00204,"ARCY STE R. - SERVENAY","",49.24216,3.4414,,,0,,,
02:00206,02:00206,"ARCY STE R. - BRANGES","",49.2667,3.49991,,,0,,,
02:00221,02:00221,"CELLES LES C. - FACE ABRI","",49.01174,3.57093,,,0,,,
02:00223,02:00223,"CONNIGIS - PLACE","",49.03201,3.53145,,,0,,,
02:00228,02:00228,"MEZY MOULINS - MOULINS","",49.05932,3.5211,,,0,,,
02:00229,02:00229,"MEZY MOULINS - X RUE MOULINS/GARE","",49.06641,3.50532,,,0,,,
02:00233,02:00233,"FOSSOY - LA BADELLE","",49.05488,3.48596,,,0,,,
02:00241,02:00241,"CONDE EN B. - COLLEGE","",49.00541,3.55229,,,0,,,
02:00242,02:00242,"ST EUGENE - PLACE ECOLE","",49.0227,3.53118,,,0,,,
02:00244,02:00244,"CREZANCY - LYCEE AGRICOLE","",49.04901,3.50972,,,0,,,
02:00245,02:00245,"REUILLY S. - ABRI","",49.0579,3.55699,,,0,,,
02:00246,02:00246,"REUILLY S. - SAUVIGNY","",49.05453,3.57596,,,0,,,
02:00256,02:00256,"CONDE EN B. - ECOLE PRIMAIRE","",49.00452,3.55608,,,0,,,
02:00261,02:00261,"AMBLENY - LE SOULIER","",49.38202,3.20102,,,0,,,
02:00263,02:00263,"ST BANDRY - PLACE DE L'EGLISE","",49.37127,3.16989,,,0,,,
02:00264,02:00264,"ST BANDRY - COURTANSON","",49.36649,3.17468,,,0,,,
02:00279,02:00279,"VILLERS C. - GRAND BOSQUET","",49.25477,3.09286,,,0,,,
02:00293,02:00293,"DAMPLEUX - PLACE ABRI","",49.24413,3.15223,,,0,,,
02:00295,02:00295,"FAVEROLLES - VOUTY ABRI PLACE","",49.23167,3.17775,,,0,,,
02:00298,02:00298,"LOUATRE - VIOLAINE","",49.2631,3.23878,,,0,,,
02:00304,02:00304,"DOMMIERS - ABRI MAIRIE ECOLE","",49.32862,3.21274,,,0,,,
02:00315,02:00315,"LA FERE - PONT DE L'OISE","",49.65996,3.37195,,,0,,,
02:00318,02:00318,"LA FERE - COLLEGE MARIE DE LUXEMB","",49.66421,3.36309,,,0,,,
02:00348,02:00348,"ST QUENTIN - GARE ROUTIERE","",49.84094,3.29832,,,0,,,
